"County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Annual Earnings","2011","Co. Kerry","Education (P)","Euro","49437"
"Mean Annual Earnings","2011","Co. Kerry","Human health and social work activities (Q)","Euro","34386"
"Mean Annual Earnings","2011","Co. Kerry","Industry (B to E)","Euro","42742"
"Mean Annual Earnings","2011","Co. Kerry","Financial, insurance and real estate activities (K,L)","Euro","42515"
"Mean Annual Earnings","2011","Co. Kerry","Arts, entertainment, recreation and other service activities (R,S)","Euro","22391"
"Mean Annual Earnings","2011","Co. Longford","All NACE economic sectors","Euro","33473"
"Mean Annual Earnings","2011","Co. Longford","Construction (F)","Euro","31271"
"Mean Annual Earnings","2011","Co. Longford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23013"
"Mean Annual Earnings","2011","Co. Longford","Transportation and storage (H)","Euro","31345"
"Mean Annual Earnings","2011","Co. Longford","Accommodation and food service activities (I)","Euro","16513"
"Mean Annual Earnings","2011","Co. Longford","Information and communication (J)","Euro","43744"
"Mean Annual Earnings","2011","Co. Longford","Professional, scientific and technical activities (M)","Euro","31591"
"Mean Annual Earnings","2011","Co. Longford","Administrative and support service activities (N)","Euro","23699"
"Mean Annual Earnings","2011","Co. Longford","Public administration and defence; compulsory social security (O)","Euro","43248"
"Mean Annual Earnings","2011","Co. Longford","Education (P)","Euro","46000"
"Mean Annual Earnings","2011","Co. Longford","Human health and social work activities (Q)","Euro","32023"
"Mean Annual Earnings","2011","Co. Longford","Industry (B to E)","Euro","37704"
"Mean Annual Earnings","2011","Co. Longford","Financial, insurance and real estate activities (K,L)","Euro","38723"
"Mean Annual Earnings","2011","Co. Longford","Arts, entertainment, recreation and other service activities (R,S)","Euro","22332"
"Mean Annual Earnings","2011","Co. Louth","All NACE economic sectors","Euro","36209"
"Mean Annual Earnings","2011","Co. Louth","Construction (F)","Euro","33209"
"Mean Annual Earnings","2011","Co. Louth","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26004"
"Mean Annual Earnings","2011","Co. Louth","Transportation and storage (H)","Euro","39641"
"Mean Annual Earnings","2011","Co. Louth","Accommodation and food service activities (I)","Euro","17957"
"Mean Annual Earnings","2011","Co. Louth","Information and communication (J)","Euro","49750"
"Mean Annual Earnings","2011","Co. Louth","Professional, scientific and technical activities (M)","Euro","41368"
"Mean Annual Earnings","2011","Co. Louth","Administrative and support service activities (N)","Euro","26884"
"Mean Annual Earnings","2011","Co. Louth","Public administration and defence; compulsory social security (O)","Euro","46810"
"Mean Annual Earnings","2011","Co. Louth","Education (P)","Euro","48368"
"Mean Annual Earnings","2011","Co. Louth","Human health and social work activities (Q)","Euro","36764"
"Mean Annual Earnings","2011","Co. Louth","Industry (B to E)","Euro","41747"
