"Statistic Label","Quarter","Employees Size","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Weekly Earnings","2023Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","661.83"
"Average Weekly Earnings","2023Q4","50 - 250","All NACE economic sectors","Euro","847.29"
"Average Weekly Earnings","2023Q4","50 - 250","Construction (F)","Euro","1130.55"
"Average Weekly Earnings","2023Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","731.76"
"Average Weekly Earnings","2023Q4","50 - 250","Transportation and storage (H)","Euro","839.21"
"Average Weekly Earnings","2023Q4","50 - 250","Accommodation and food service activities (I)","Euro","439.47"
"Average Weekly Earnings","2023Q4","50 - 250","Information and communication (J)","Euro","1437.15"
"Average Weekly Earnings","2023Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","1232.78"
"Average Weekly Earnings","2023Q4","50 - 250","Administrative and support service activities (N)","Euro","785.67"
"Average Weekly Earnings","2023Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1220.99"
"Average Weekly Earnings","2023Q4","50 - 250","Education (P)","Euro","682.67"
"Average Weekly Earnings","2023Q4","50 - 250","Human health and social work activities (Q)","Euro","587.88"
"Average Weekly Earnings","2023Q4","50 - 250","Industry (B to E)","Euro","916.07"
"Average Weekly Earnings","2023Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1362.46"
"Average Weekly Earnings","2023Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","669.04"
"Average Weekly Earnings","2024Q1","50 - 250","All NACE economic sectors","Euro","900.41"
"Average Weekly Earnings","2024Q1","50 - 250","Construction (F)","Euro","1063.38"
"Average Weekly Earnings","2024Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","760.14"
"Average Weekly Earnings","2024Q1","50 - 250","Transportation and storage (H)","Euro","836.14"
"Average Weekly Earnings","2024Q1","50 - 250","Accommodation and food service activities (I)","Euro","440"
"Average Weekly Earnings","2024Q1","50 - 250","Information and communication (J)","Euro","1609.18"
"Average Weekly Earnings","2024Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1372.05"
"Average Weekly Earnings","2024Q1","50 - 250","Administrative and support service activities (N)","Euro","826.99"
"Average Weekly Earnings","2024Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1243.69"
"Average Weekly Earnings","2024Q1","50 - 250","Education (P)","Euro","661.21"
"Average Weekly Earnings","2024Q1","50 - 250","Human health and social work activities (Q)","Euro","593.08"
"Average Weekly Earnings","2024Q1","50 - 250","Industry (B to E)","Euro","948.22"
"Average Weekly Earnings","2024Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1578.63"
"Average Weekly Earnings","2024Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","675.69"
"Average Weekly Earnings","2024Q2","50 - 250","All NACE economic sectors","Euro","882.76"
"Average Weekly Earnings","2024Q2","50 - 250","Construction (F)","Euro","1072.93"
"Average Weekly Earnings","2024Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","775.3"
"Average Weekly Earnings","2024Q2","50 - 250","Transportation and storage (H)","Euro","899.72"
"Average Weekly Earnings","2024Q2","50 - 250","Accommodation and food service activities (I)","Euro","457.97"
"Average Weekly Earnings","2024Q2","50 - 250","Information and communication (J)","Euro","1495.68"
"Average Weekly Earnings","2024Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","1345.83"
"Average Weekly Earnings","2024Q2","50 - 250","Administrative and support service activities (N)","Euro","795.14"
"Average Weekly Earnings","2024Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1253.79"
"Average Weekly Earnings","2024Q2","50 - 250","Education (P)","Euro","694.31"
"Average Weekly Earnings","2024Q2","50 - 250","Human health and social work activities (Q)","Euro","607.26"
"Average Weekly Earnings","2024Q2","50 - 250","Industry (B to E)","Euro","948.79"
"Average Weekly Earnings","2024Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1365.57"
"Average Weekly Earnings","2024Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","648.26"
